symbol	alias
A1CF	ACF
A1CF	ASP
A1CF	ACF64
A1CF	ACF65
A1CF	APOBEC1CF
A2M	FWP007
A2M	S863-7
A2M	CPAMD5
A2ML1	FLJ25179
A2ML1	p170
A2ML1	CPAMD9
A3GALT2	IGBS3S
A3GALT2	IGB3S
A3GALT2	A3GALT2P
A4GALT	A14GALT
A4GALT	Gb3S
A4GALT	P(k)
A4GALT	P1
A4GNT	alpha4GnT
AACS	FLJ12389
AACS	SUR-5
AACS	ACSF1
AADAC	DAC
AADAC	CES5A1
AADACL2	MGC72001
AADACL3	OTTHUMG00000001887
AADACL4	OTTHUMG00000001889
AADAT	KATII
AADAT	KAT2
AADAT	KYAT2
AAGAB	FLJ11506
AAGAB	p34
AAK1	KIAA1048
AAK1	DKFZp686K16132
AAMDC	PTD015
AAMDC	FLJ21035
AAMDC	CK067
AAMDC	C11orf67
AANAT	SNAT
AAR2	bA234K24.2
AAR2	C20orf4
AARD	LOC441376
AARD	C8orf85
AARS1	CMT2N
AARS1	AlaRS
AARS1	AARS
AARS2	KIAA1270
AARS2	bA444E17.1
AARS2	AARSL
AARSD1	MGC2744
AARSD1	AlaXp
AASDH	NRPS998
AASDH	LYS2
AASDH	ACSF4
AASDHPPT	LYS5
AASDHPPT	CGI-80
AASDHPPT	AASD-PPT
AASDHPPT	ACPS
AASS	LORSDH
AASS	LKRSDH
AASS	LKR/SDH
AATF	DED
AATF	CHE-1
AATF	CHE1
AATF	BFR2
AATK	AATYK
AATK	KIAA0641
AATK	LMTK1
AATK	LMR1
AATK	AATYK1
AATK	PPP1R77
ABAT	GABAT
ABAT	GABA-T
ABCA1	TGD
ABCA1	ABC1
ABCA1	HDLDT1
ABCA2	ABC2
ABCA3	ABC-C
ABCA3	EST111653
ABCA3	LBM180
ABCA3	ABC3
ABCA4	FFM
ABCA4	ARMD2
ABCA4	CORD3
ABCA4	STGD1
ABCA4	ABCR
ABCA4	RP19
ABCA4	STGD
ABCA5	EST90625
ABCA6	EST155051
ABCA7	ABCX
ABCA8	KIAA0822
ABCA9	EST640918
ABCA10	EST698739
ABCA12	DKFZP434G232
ABCA12	LI2
ABCA12	ICR2B
ABCA13	FLJ33876
ABCA13	FLJ33951
ABCB1	P-gp
ABCB1	CD243
ABCB1	GP170
ABCB1	ABC20
ABCB1	p-170
ABCB1	PGY1
ABCB1	MDR1
ABCB1	CLCS
ABCB4	MDR2
ABCB4	PFIC-3
ABCB4	GBD1
ABCB4	PGY3
ABCB4	MDR3
ABCB5	EST422562
ABCB5	ABCB5beta
ABCB5	ABCB5alpha
ABCB6	EST45597
ABCB6	umat
ABCB6	MTABC3
ABCB7	EST140535
ABCB7	Atm1p
ABCB7	ASAT
ABCB7	ABC7
ABCB8	EST328128
ABCB8	M-ABC1
ABCB8	MABC1
ABCB8	MITOSUR
ABCB9	EST122234
ABCB10	EST20237
ABCB10	M-ABC2
ABCB10	MTABC2
ABCB11	ABC16
ABCB11	SPGP
ABCB11	PFIC-2
ABCB11	PGY4
ABCB11	BSEP
ABCB11	PFIC2
ABCC1	GS-X
ABCC1	MRP
ABCC1	MRP1
ABCC2	DJS
ABCC2	MRP2
ABCC2	cMRP
ABCC2	CMOAT
ABCC3	MRP3
ABCC3	cMOAT2
ABCC3	EST90757
ABCC3	MLP2
ABCC3	MOAT-D
ABCC4	MRP4
ABCC4	EST170205
ABCC4	MOAT-B
ABCC4	MOATB
ABCC5	MRP5
ABCC5	SMRP
ABCC5	EST277145
ABCC5	MOAT-C
ABCC6	MRP6
ABCC6	EST349056
ABCC6	MLP1
ABCC6	URG7
ABCC6	ARA
ABCC6	PXE
ABCC8	HI
ABCC8	PHHI
ABCC8	SUR1
ABCC8	MRP8
ABCC8	ABC36
ABCC8	HHF1
ABCC8	TNDM2
ABCC8	SUR
ABCC8	HRINS
ABCC9	SUR2
ABCC9	CMD1O
ABCC10	EST182763
ABCC10	MRP7
ABCC10	SIMRP7
ABCC11	MRP8
ABCC12	MRP9
ABCD1	AMN
ABCD1	ALDP
ABCD1	adrenoleukodystrophy
ABCD1	ALD
ABCD2	ALDR
ABCD2	ALDRP
ABCD2	ALDL1
ABCD3	PMP70
ABCD3	ZWS2
ABCD3	PXMP1
ABCD4	PMP69
ABCD4	P70R
ABCD4	EST352188
ABCD4	PXMP1L
ABCE1	RLI
ABCE1	OABP
ABCE1	RLI1
ABCE1	RNASEL1
ABCE1	RNASELI
ABCE1	RNS4I
ABCF1	EST123147
ABCF1	ABC50
ABCF2	EST133090
ABCF2	ABC28
ABCF2	M-ABC1
ABCF2	HUSSY-18
ABCF3	EST201864
ABCG1	ABC8
ABCG2	EST157481
ABCG2	MXR
ABCG2	BCRP
ABCG2	ABCP
ABCG2	CD338
ABCG4	WHITE2
ABCG5	STSL
ABCG8	GBD4
ABHD1	LABH1
ABHD1	FLJ36128
ABHD2	LABH2
ABHD3	LABH3
ABHD4	FLJ12816
ABHD5	CGI-58
ABHD5	NCIE2
ABHD8	FLJ11743
ABHD8	MGC14280
ABHD8	MGC2512
ABHD10	FLJ11342
ABHD11	PP1226
ABHD11	WBSCR21
ABHD12	DKFZP434P106
ABHD12	dJ965G21.2
ABHD12	BEM46L2
ABHD12	ABHD12A
ABHD12	C20orf22
ABHD12B	BEM46L3
ABHD12B	C14orf29
ABHD13	bA153I24.2
ABHD13	FLJ14906
ABHD13	BEM46L1
ABHD13	C13orf6
ABHD14A	DKFZP564O243
ABHD14A	DORZ1
ABHD14B	MGC15429
ABHD14B	CIB
ABHD16A	NG26
ABHD16A	D6S82E
ABHD16A	BAT5
ABHD16B	dJ591C20.1
ABHD16B	C20orf135
ABHD17A	MGC5244
ABHD17A	C19orf27
ABHD17A	FAM108A1
ABHD17B	CGI-67
ABHD17B	C9orf77
ABHD17B	FAM108B1
ABHD17C	FAM108C1
ABHD18	FLJ21106
ABHD18	C4orf29
ABI1	E3B1
ABI1	ABI-1
ABI1	SSH3BP1
ABI2	ABI-2
ABI2	AIP-1
ABI2	ABI2B
ABI2	AblBP3
ABI2	argBPIA
ABI2	SSH3BP2
ABI3	NESH
ABI3	SSH3BP3
ABI3BP	NESHBP
ABI3BP	DKFZP586L2024
ABI3BP	TARSH
ABITRAM	CG-8
ABITRAM	FLJ20457
ABITRAM	Simiate
ABITRAM	C9orf6
ABITRAM	FAM206A
ABL1	JTK7
ABL1	c-ABL
ABL1	p150
ABL1	ABL
ABL2	ARG
ABL2	ABLL
ABLIM1	abLIM
ABLIM1	limatin
ABLIM1	LIMAB1
ABLIM1	ABLIM
ABLIM2	KIAA1808
ABLIM3	KIAA0843
ABO	A3GALNT
ABO	A3GALT1
ABR	MDB
ABRA	STARS
ABRACL	PRO2013
ABRACL	HSPC280
ABRACL	Costars
ABRACL	C6orf115
ABRAXAS1	FLJ13614
ABRAXAS1	ABRA1
ABRAXAS1	ABRAXAS
ABRAXAS1	CCDC98
ABRAXAS1	FAM175A
ABRAXAS2	Em:AC068896.4
ABRAXAS2	ABRO1
ABRAXAS2	KIAA0157
ABRAXAS2	FAM175B
ABT1	Esf2
ABTB1	BPOZ
ABTB1	EF1ABP
ABTB1	Btb3
ABTB1	BTBD21
ABTB1	BPOZ-2
ABTB2	DKFZP586C1619
ABTB2	BTBD22
ABTB2	ABTB2A
ABTB3	FLJ33957
ABTB3	ABTB2B
ABTB3	BTBD11
ACAA1	Lnc-Myd88
ACAA2	DSAEC
ACACA	ACC1
ACACA	ACC-alpha
ACACA	ACCA
ACACA	ACCalpha
ACACA	ACACalpha
ACACA	Acac1
ACACA	hACC1
ACACA	ACAC
ACACA	ACC
ACACB	HACC275
ACACB	ACC2
ACACB	ACCB
ACACB	ACC-beta
ACACB	ACCbeta
ACACB	ACACbeta
ACAD9	NPD002
ACAD9	MGC14452
ACAD10	MGC5601
ACAD11	FLJ12592
ACADL	LCAD
ACADL	ACAD4
ACADM	MCAD
ACADM	MCADH
ACADM	ACAD1
ACADS	SCAD
ACADS	ACAD3
ACADSB	SBCAD
ACADSB	ACAD7
ACADVL	VLCAD
ACADVL	LCACD
ACADVL	ACAD6
ACAN	CSPGCP
ACAN	MSK16
ACAN	CSPG1
ACAN	AGC1
ACAP1	KIAA0050
ACAP1	CENTB1
ACAP2	KIAA0041
ACAP2	CNT-B2
ACAP2	CENTB2
ACAP3	KIAA1716
ACAP3	CENTB5
ACAT1	THIL
ACAT1	ACAT
ACBD3	GCP60
ACBD3	PAP7
ACBD3	GOLPH1
ACBD3	GOCAP1
ACBD4	FLJ13322
ACBD5	DKFZp434A2417
ACBD5	KIAA1996
ACBD6	MGC2404
ACBD7	FLJ38219
ACBD7	bA455B2.2
ACCS	PHACS
ACCS	ACS
ACD	Ptop
ACD	Pip1
ACD	Tpp1
ACD	Tint1
ACE	ACE1
ACE	CD143
ACE	DCP1
ACE2	ACEH
ACER1	ASAH3
ACER2	FLJ41587
ACER2	ALKCDase2
ACER2	ASAH3L
ACER3	FLJ11238
ACER3	APHC
ACER3	PHCA
ACHE	YT
ACIN1	KIAA0670
ACIN1	fSAP152
ACIN1	ACINUS
ACKR1	CCBP1
ACKR1	GPD
ACKR1	Dfy
ACKR1	CD234
ACKR1	FY
ACKR1	DARC
ACKR2	CCR10
ACKR2	D6
ACKR2	CCR9
ACKR2	CMKBR9
ACKR2	CCBP2
ACKR3	RDC1
ACKR3	GPR159
ACKR3	CMKOR1
ACKR3	CXCR7
ACKR4	CCR11
ACKR4	CCBP2
ACKR4	VSHK1
ACKR4	CCX-CKR
ACKR4	PPR1
ACKR4	CCRL1
ACKR5	hrhAMR
ACKR5	G10D
ACKR5	AM-R
ACKR5	ADMR
ACKR5	GPR182
ACLY	ATPCL
ACLY	CLATP
ACLY	ACL
ACO1	IRP1
ACO1	IREBP
ACO1	IREB1
ACO2	ACONM
ACOD1	CAD
ACOD1	IRG1
ACOT1	ACH2
ACOT1	CTE-1
ACOT1	LACH2
ACOT2	Mte1
ACOT2	ZAP128
ACOT4	FLJ31235
ACOT4	PTE-Ib
ACOT4	PTE2B
ACOT6	C14orf42
ACOT7	BACH
ACOT7	ACH1
ACOT7	ACT
ACOT7	CTE-II
ACOT7	LACH1
ACOT7	MGC1126
ACOT7	hBACH
ACOT8	hACTE-III
ACOT8	hTE
ACOT8	PTE-2
ACOT8	NAP1
ACOT8	PTE1
ACOT9	CGI-16
ACOT9	MT-ACT48
ACOT9	ACATE2
ACOT11	STARD14
ACOT11	BFIT
ACOT11	KIAA0707
ACOT11	BFIT1
ACOT11	THEM1
ACOT11	THEA
ACOT12	Cach
ACOT12	THEAL
ACOT12	STARD15
ACOT13	HT012
ACOT13	THEM2
ACOX1	PALMCOX
ACOX2	BRCACOX
ACOX2	BRCOX
ACOX2	THCCox
ACOXL	FLJ11042
ACOXL	ACOX4
ACP1	HAAP
ACP1	LMW-PTP
ACP1	LMWPTP
ACP2	LAP
ACP3	ACP-3
ACP3	PAP
ACP3	TM-PAP
ACP3	ACPP
ACP4	ACPT
ACP5	TRAP
ACP5	HPAP
ACP5	TRAcP
ACP6	LPAP
ACP6	ACPL1
ACP7	FLJ16165
ACP7	PAPL1
ACP7	PAPL
ACRBP	SP32
ACRBP	OY-TES-1
ACRBP	CT23
ACRV1	SPACA2
ACRV1	SP-10
ACRV1	D11S4365
ACSBG1	BGM
ACSBG1	FLJ30320
ACSBG1	MGC14352
ACSBG1	BG1
ACSBG1	KIAA0631
ACSBG1	hBG1
ACSBG1	hsBG
ACSBG2	BGR
ACSBG2	PRTD-NY3
ACSBG2	DKFZp434K1635
ACSF2	FLJ20920
ACSF2	ACSMW
ACSL1	LACS2
ACSL1	LACS
ACSL1	ACS1
ACSL1	LACS1
ACSL1	FACL1
ACSL1	FACL2
ACSL3	ACS3
ACSL3	PRO2194
ACSL3	FACL3
ACSL4	ACS4
ACSL4	LACS4
ACSL4	FACL4
ACSL4	MRX63
ACSL4	MRX68
ACSL5	ACS5
ACSL5	ACS2
ACSL5	FACL5
ACSL6	KIAA0837
ACSL6	ACS2
ACSL6	LACS5
ACSL6	LACS2
ACSL6	FACL6
ACSM1	MACS1
ACSM1	BUCS1
ACSM2A	A-923A4.1
ACSM2A	MGC150530
